#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
31909	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31909	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Tak YS (2006)	16619031	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31910	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31910	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Tak YS (2006)	16619031	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31910	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31910	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Tak YS (2006)	16619031	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31911	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31912	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31913	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31914	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
